ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
FDKエナジー,"FDKエナジー株式会社（エフディーケイエナジー、英: FDK ENERGY CO., LTD.）は、アルカリ乾電池、リチウム電池の製造等を行うFDKの子会社。同じく子会社のPT FDK INDONESIAとともに、FDKグループとして乾電池を供給している。供給先ブランドは富士通の他、ソニー、三菱電機、東芝など。"
GEヘルスケア・ジャパン,GEヘルスケア・ジャパン株式会社（ジーイーヘルスケアジャパン、GEHC-J）は、東京都日野市にある医療機器メーカーである。
GIGABYTE,GIGABYTE（ギガバイト）は台湾のパソコン、周辺機器のメーカー。
HORI,株式会社HORI（ホリ）は神奈川県横浜市にあるテレビゲーム用周辺機器を製造、販売する日本の企業である。旧社名は「ホリ電機」で、2000年1月1日に現社名へと改称した。
HUMAX,"HUMAX Co., Ltd.（ヒューマックス）は、韓国に本社を置く企業である。日本法人は株式会社ヒューマックスジャパン（HUMAX JAPAN Co., Ltd.）。"
I-Tech,I-Tech Corporation(株式会社アイテック)とは時間貸駐車場で使用する機器のメーカーである。1994年7月設立。現在、本社は東京都文京区に所在する。駐車場機器メーカーとして業界初のロックレスシステムを販売している。
IBM,IBM（アイビーエム、正式社名: International Business Machines Corporation）は、民間法人や公的機関を対象とするビジネス用途のコンピュータ関連の製品およびサービスを提供する企業である。本社はアメリカ合衆国ニューヨーク州アーモンクに所在する。日本法人は、日本におけるIBMを参照。
IDEC,IDEC株式会社（あいでっく、英: IDEC Corporation）は、制御機器製品、制御装置及びファクトリーオートメーションシステム製品等の製造メーカー。
IDT,"Integrated Device Technology, Inc.（IDT）は、アメリカの半導体企業。本社はカリフォルニア州サンノゼ。通信・コンピュータ・一般向け機器などで使用する低消費電力で高性能なアナログ-デジタル混在半導体部品の設計と製造を行っている。主にOEM製品を扱っている。1980年、通信・コンピュータ向けのCMOS製品メーカーとして創業。現在は、通信部門、コンピュータ部門、コンシューマ部門で構成されている。"
JUNS,JUNS株式会社（JUNS CORPORATION）は東京都中野区に置き、映像編集、インターネット動画配信、音楽制作、フォトレタッチなどの高い性能を要求される用途に特化したクリエイター向けパソコンの製造・販売を行っている日本の企業。1980年代に日本の代表的なペイントソフトやDTPソフトを開発発売していた『ツァイト』創業者である山中潤が設立した。山中潤は漫画雑誌「ガロ」の編集長を務めていた事でも知られる。
JVCケンウッド,株式会社JVCケンウッド（ジェイブイシーケンウッド、英語：JVC KENWOOD Corporation）は、神奈川県横浜市神奈川区（旧日本ビクター本社所在地）に本社を置く、映像機器・音響機器・無線機器メーカーである。コーポレート・ステートメントは「JVC KENWOOD creates excitement & peace of mind」である。
KIホールディングス,KIホールディングス株式会社（ケイアイホールディングス）は、神奈川県横浜市戸塚区に本社を置く、航空機シート製造を行う事業持株会社。1967年に小糸製作所の事業の内、鉄道車両用機器・シート部門ならびに照明・電気機器部門を継承した。2011年8月1日に航空機シート以外の事業については「コイト電工」として分社した。本項目ではコイト電工株式会社についても説明する。
KOA_(企業),KOA株式会社は、長野県上伊那郡箕輪町に本社を置く抵抗器を中心に扱っている電子部品メーカーである。長野県で14社しかない東証一部に上場している企業である。地球環境への調和を企業理念としており、自社のステークホルダーに地球を加えている。
KRYNA,KRYNA株式会社 （クライナかぶしきかいしゃ） は、1980年に創業した日本の音響機器メーカー。現在は東京都町田市金森に本社を持つ。オーディオ用真空管アンプやスピーカーをはじめとする、オーディオ製品全般を製造・販売を行う会社である。
LGエレクトロニクス,LGエレクトロニクス（LG Electronics Incorporated）は、大韓民国のLGグループの中核をなす総合家電、情報通信メーカー。韓国電機業界ではサムスン電子に次ぐ大企業である。旧称LG電子（LG）。
LS電線,LS電線株式会社（エルエスでんせん、英文社名：LS Cable Ltd.）は京畿道安養市に本社を置く電線メーカー。電線で住友電気工業に次ぐ世界4位。LGグループから独立したLSグループの中心となる企業で、LSグループはともに独立したGSグループと兄弟の関係である。
MCJ,株式会社MCJ（エムシージェイ）は、コンピュータに関連する企業を傘下とする持株会社である。
MEDIAEDGE,MEDIAEDGE株式会社（メディアエッジ、MEDIAEDGE Corporation ）は、日本のビデオ配信装置、コンピュータ周辺機器メーカー。2012年1月に、グラスバレー株式会社（旧カノープス株式会社）より独立。社名は、同社のビデオ配信システム「MEDIAEDGE」が由来である。
Micro-Star_International,"MicroStar International (MSI) は、1986年に5人のソニー台湾の元技術者の徐 祥 (Joseph Hsu)、盧 琪隆 (Henry Lu)、 金請 (Jeans Huang)、林 文通 (Frank Lin)、游 賢能 (Kenny Yu)によって設立された台湾のコンピュータ及びコンピュータ関連部品製造会社で世界有数のマザーボード及びビデオカードの製造メーカー。旧ロゴの星型は社長を中心に4人の技術者でコンピュータ業界の星になろうと願いを込めているのが由来である。コアビジネスのマザーボードとビデオカード事業は120カ国以上にのぼり生産量は2000年にマザーボードは世界第３位にビデオカードカードは 世界第１位となり、累計出荷量はマザーボード1.5億枚、ビデオカード1億枚を越えた。近年はラップトップパソコン、タブレットPC、サーバ、組み込みシステム分野にも進出し2008年にはMSI 100%子会社のFUNTORO社を設立し車載用コンピュータ、カーナビゲーション分野にも進出し多角化している。2009年には企業ロゴを現行の物に一新しInnovation with styleと言う企業スローガンを制定し、デジタル時代の主要なブランドとしてグローバル市場においてパイオニアであり続け、その中核となる消費者のニーズとグローバルな技術革新の分野で世界をリードする事を目指している。日本法人(エムエスアイコンピュータージャパン株式会社、代表取締役林 文通、資本金2,000万円、所在地東京都台東区)は1999年に設立。"
NADエレクトロニクス,NADエレクトロニクス (NAD Electronics) は、カナダの音響機器メーカーである。かつての社名は New Acoustic Dimension。家庭用の低～中価格帯のアンプ（プリアンプ、メインアンプともに）を製造している。日本には輸出していない。
NEC_Avio赤外線テクノロジー,NEC Avio赤外線テクノロジー株式会社（エヌイーシーアビオせきがいせんテクノロジー）は、赤外線関連機器、および工業計測機器の開発・製造・販売、ならびにそれらを用いたソリューションの提供などをおこなっていた企業である。2008年発足、2012年消滅。
NECトーキン,NECトーキン株式会社は、宮城県仙台市太白区に本店を、宮城県白石市に本社を置く、電気部品・電子部品を製造販売するNECグループの企業である。
NECライティング,NECライティング株式会社は、NECグループに属する照明事業専門の会社。
NEOMAX,NEOMAX（ネオマックス）とはかつてあった企業で、現在は日立金属である。1.が製造・販売するネオジム磁石の商品名。株式会社NEOMAXは、かつて存在した各種磁性材料、電子材料の製造・販売を行う会社。2007年4月1日、日立金属に吸収合併された。旧社名は住友特殊金属株式会社。住友金属工業の子会社として設立された。2004年、日立金属の傘下となり、同社の磁性材料部門と統合して株式会社NEOMAXとなった。現在実用化されている中で最強の磁石であるネオジム磁石を発明した佐川眞人が所属していた企業として知られており、社名はその商品名にちなんだものであった。
NGKエレクトロデバイス,NGKエレクトロデバイス株式会社（エヌジーケーエレクトロデバイス）は山口県美祢市に本社を置く半導体パッケージなど電子部品のメーカー。鳴海製陶株式会社の電子セラミックス部門を母体としている。
NKKスイッチズ,"NKKスイッチズ株式会社（英名: NKK SWITCHES CO., LTD.）は、産業機器用の操作スイッチ専業の製造会社。特にトグルスイッチで世界的に高いシェアを持つ。1995年のエレクトロニック・バイヤーズ・ニュース（EBN誌）にて、スイッチ部門で世界のトップ5に選ばれている。国内では神奈川県横浜市と福島県いわき市に主要製造拠点を持ち、海外では2005年に中国の広東省東莞市清溪鎮に自社工場を建設し、生産を拡大している。海外の販売会社としては、香港と中国、北米に子会社を持ち、近年特に北米市場でのシェアアップに注力している。社名にある「NKK」は前身の「日本開閉器工業」（Nippon Kaiheiki Kogyou）の頭文字にちなむものであり、JFEホールディングスの前身の一つである日本鋼管（NKK）とは関連がない。"
NLTテクノロジー,NLTテクノロジー株式会社（エヌエルティテクノロジー）は、NECグループの企業であり、液晶ディスプレイの研究開発、生産、販売などを手掛ける。かつては日本電気 (NEC) の完全子会社（旧商号：NEC液晶テクノロジー株式会社）であった。本社は同事業部があった神奈川県川崎市のNEC玉川ルネッサンスシティに置く。
NTTエレクトロニクス,NTTエレクトロニクス株式会社（NTT Electronics Corporation）は、神奈川県横浜市にあるNTTグループの企業である。
NVIDIA,NVIDIA Corporation（エヌビディアコーポレーション、NASDAQ: NVDA）は、アメリカ合衆国カリフォルニア州サンタクララにある半導体メーカー。コンピュータのグラフィックス処理や演算処理の高速化を主な目的とするGPU（グラフィックス・プロセッシング・ユニット）を開発し販売する。デスクトップパソコンやノートパソコン向けのGPUであるGeForceシリーズ、プロフェッショナル向けでワークステーションに搭載されるQuadroやNVSシリーズで有名だが、近年はスーパーコンピュータ向けの演算専用プロセッサであるTesla（テスラ）や、携帯電話やスマートフォン・タブレット端末向けのSoC（システム・オン・チップ）であるTegra（テグラ）の開発販売も手掛ける。日本法人は、東京都港区赤坂。
OSGコーポレーション,株式会社OSGコーポレーション（オーエスジーコーポレーション）は、大阪市北区に本社を置く浄水器・アルカリイオン整水器などの製造を行う企業である。「OSG」とは「大阪三愛グループ（Osaka Sanai Group）」のことである。なお、工作機械部品のオーエスジーとの資本関係はない。
PFU,株式会社PFU（ピーエフユー、英文社名、PFU LIMITED）は石川県かほく市宇野気（うのけ）に本社を置く、コンピュータ関連メーカー・システムインテグレーター。富士通の完全子会社で、古河グループに属する。
PIAA,"PIAA株式会社（ピア、英: PIAA Corporation, Ltd. ）は、東京都文京区に本社を置く自動車部品メーカー。LED、HIDなどのランプ類を主体に、カーキャリアやワイパーなどを扱っている。市光工業株式会社の連結子会社で、商業登記上の商号はピア株式会社。"
QNAP,"QNAPシステムズ(QNAP Systems, Inc., 威聯通科技股有限公司) は台湾のネットワークアタッチトストレージ(NAS)、ネットワークビデオレコーダー・プレイヤーのメーカー。"
RDEマイクロフォン,RDEマイクロフォン (ロードマイクロフォン、RDE Microphones) は、オーストラリア ニューサウスウェールズ州シルヴァーウォーターを拠点とし、マイクロフォンとその関連製品を設計製造する企業である。1967年、ヘンリー・フリードマンとアストリッド・フリードマンにより設立された。そのマイクロフォンは業務用スタジオや音響増幅（Public Address）、ビデオ、フィルム、及びヴォーカル・パフォーマンスの分野で用いられている。オーストラリア連邦科学産業研究機構の国立測量研究所との共同研究も開始した。2006年、RDEはアメリカのスタジオ・モニター製造企業イベント・エレクトロニクス社を買収した。
Santec,santec株式会社（サンテック、英: SANTEC CORPORATION ）は、愛知県小牧市に本社を置く光測定器・光部品関連製造企業。
SCREENホールディングス,"株式会社SCREENホールディングス（英: SCREEN Holdings Co., Ltd.）は、半導体・液晶製造装置、印刷関連機器など産業用機器を製造する企業グループの持株会社。"
SMK_(企業),SMK株式会社（えすえむけい、SMK Corporation）は、東京都品川区に本社を置くコネクタ、スイッチ、リモコン、プラグ、ジャック、電源部品、ターミナル、RFユニット、コントロールパネル、タッチパネル、通信モジュール、カメラモジュールなどを製造、販売している企業である。
Sohwa_&_Sophia_Technologies,株式会社Sohwa & Sophia Technologiesは、神奈川県川崎市に本社を置くプリント基板設計及びソフト開発等を手掛ける企業。
TAD,TAD（Technical Audio Devices）は、パイオニア（現・オンキヨー&パイオニア）のプロフェッショナル向けオーディオ製品のブランド名。読み方は「タッド」2007年（平成19年）10月1日に株式会社テクニカルオーディオデバイセズラボラトリーズが設立。以降は同社の取り扱いとなっている。
TCL集団,TCL集団股有限公司（TCL、TCL集団、TCL集股有限公司、TCL Corporation）は広東省恵州市に本社がある電気機器メーカーである。TCL集団は携帯電話、パーソナルコンピュータ、家電機器、照明、電子媒体を中国内外に販売している。TCLは深証券取引所と香港証券取引所に上場している。
TDK,TDK株式会社（ティーディーケイ、英: TDK Corporation）は、日本の電気機器製造会社である。
TDK-MCC,TDK-MCC株式会社（ティーディーケイ・エムシーシー）は、積層セラミックコンデンサの生産工場として設立。秋田県にかほ市に本社を置くTDK100%出資の製造子会社。
TDKラムダ,TDKラムダ株式会社（TDK-Lambda Corporation）は、スイッチング電源とノイズフィルタ、その周辺機器の開発製造販売を行う日本の電機メーカー。TDK株式会社のグループ企業である。
TDK羽後,TDK羽後株式会社（ティーディーケイうご）は、電子部品の製造・販売を行っている会社。TDKの100%出資の子会社で、秋田県由利本荘市に本社を置く。
TDK羽城,TDK羽城株式会社（ティーディーケイうじょう）は、中高圧コンデンサ、ディップコンデンサの製造を行っていたTDKの100%出資の子会社。秋田県潟上市に本社があったが、平成24年7月にTDK-MCCに吸収合併し消滅した。
TDK庄内,TDK庄内株式会社（ティーディーケイしょうない）は、電子部品の製造・販売を行っている会社。TDKの100%出資の子会社で、山形県鶴岡市に本社を置く。
TDK由利本荘,TDK由利本荘株式会社（ティーディーケイゆりほんじょう）は、電子部品の製造・販売を行っている会社。TDKの100%出資の子会社で、秋田県由利本荘市に本社を置く。
TOA_(企業),TOA株式会社（ティーオーエー、英: TOA Corporation）は、業務用の音響機器とセキュリティ機器の専門メーカー。音響機器はPA/SR/拡声などの設備音響、セキュリティ機器は監視カメラなどの映像機器を中心とした防犯装備を製造する。本社は神戸市中央区港島中町7丁目2番1号（ポートアイランド）。“TOA”とは旧社名の東亞特殊電機株式会社でのブランドネーム“トーア”が語源とされている。
TRINC,株式会社 TRINC（トリンク、英文名：TRINC Corporation 、旧社名：高柳研究所）は、静岡県浜松市西区大久保町に本社を置く、電子機器を製造・販売する企業。
TSMC,"TSMC（英文正式社名：Taiwan Semiconductor Manufacturing Co., Ltd.、中国語正式社名：臺灣積體電路製造股有限公司）は、台湾新竹市新竹サイエンスパークに本拠を置く世界最大級の半導体製造ファウンダリーである。正式社名の和訳は「台湾半導体製造株式会社」である。略称のTSMCで呼ばれることが多い。創立者は、モリス・チャン（張忠謀）。"
UL_Japan,"株式会社UL Japan（ユーエル・ジャパン、英文社名：UL Japan, Inc. ）は、三重県伊勢市に本社を持つ、米国の世界的第三者安全科学機関である、ULの日本法人である。北米のULマークのみならず、日本の電気用品安全法に基づいた安全・EMC認証のSマークをはじめ、欧州、中国市場向けの製品に必要とされる認証マークの適合性評価サービスを提供している。"
YCC情報システム,YCC情報システム（ワイシーシーじょうほうシステム）は、山形県山形市に本社を置く、情報サービス企業。
YOCASOL,YOCASOL株式会社 （よかそる、英文名：YOCASOL INC. ）は、福岡県大牟田市に本社を置いていた、太陽電池モジュールの専業メーカーである。社名の由来は九州の方言で「良し」「すばらしい」を意味する「よか」と、スペイン語などで太陽を意味する「SOL」に由来する。
YOZAN,株式会社YOZAN（ヨーザン、YOZAN Inc.）は、電気通信事業を行う子会社を保有する企業。2005年7月1日に株式会社鷹山から商号変更。社名は上杉鷹山に由来する。
ZTE,中興通訊（ちゅうこうつうじん、中国語読み:ジョンシントンシュン、英文社名 : ZTE Corporation（旧社名：Zhong Xing Telecommunication Equipment Company Limited））は、中華人民共和国・深に本社を置く、通信設備および通信端末の開発および生産を事業とする会社である。
ZTE,中興通訊（ちゅうこうつうじん、中国語読み:ジョンシントンシュン、英文社名 : ZTE Corporation（旧社名：Zhong Xing Telecommunication Equipment Company Limited））は、中華人民共和国・深に本社を置く、通信設備および通信端末の開発および生産を事業とする会社である。
アークレイ,"アークレイ株式会社（ARKRAY, Inc.）は、京都府京都市中京区に本社を置く医療機器の製造・販売をおこなう企業である。コーポレート・メッセージは「いのち・かがやく・かがく」"
アイ・オー・データ機器,"株式会社アイ・オー・データ機器（アイ・オー・データきき、I-O DATA DEVICE, INC.）は、石川県金沢市に本社を置く精密機器メーカー。主にコンピュータの周辺機器を製造・販売している。その創業時期は、日本のパーソナルコンピュータの黎明期にもあたり、周辺機器メーカーとしては老舗といえる。"
アイエスエス,アイエスエス株式会社は、岩手県滝沢市に本社を置く、メカニズム設計・ソフトウエア開発企業である。略称の『ISS』は、Innovative（革新的な）、System（方式の）、Solutions（解決策）という言葉に由来する。2002年1月にアルプス電気システム機器事業部盛岡工場の閉鎖が決まり、同工場の従業員は福島県いわき市小名浜への転勤を余儀なくされた。同工場のエンジニアであった小笠原政司（おがさわら まさし）と鎌田智也が中心となり、他に同僚9名が発起人となって2002年4月2日に当社が設立された。2004年に発起人の一人であった藤澤久一が社長に就任し、また新たに山崎靖吾が加わり4人体制となった。2006年に藤澤が社長を退任し監査役に就任。再び小笠原が社長に復帰し現体制の役員構成となっている。
アイコム,アイコム株式会社（あいこむ、英語: ICOM INCORPORATED）は、大阪市平野区に本社を置く日本の無線通信機器の製造会社である。
アイスパワー,アイスパワー (ICEpower) は、デンマークのアンプメーカーバング&オルフセン アイスパワー社 (Bang & Olufsen ICEpower a/s) のブランドである。1999年にコペンハーゲン郊外のリンビー (Kongens Lyngby) で創業し、独自の特許技術を駆使したD級アンプを設計・開発している。
アイホン,"アイホン株式会社（英: Aiphone Co., Ltd.）とは、愛知県名古屋市中区に本社を置く電気機器メーカー。インターホン業界においてトップシェアを誇る。"
アオイ電子,アオイ電子株式会社（アオイでんし）は、香川県高松市に本社を置く電子部品メーカーである。
アキア,"株式会社アキア（Akia Co.,Ltd. ）は、液晶テレビの製造・販売を行う日本の企業。本社所在地は千葉県長生郡長柄町。ブランド名はアルファベットの小文字のakia。かつてはパーソナルコンピュータの製造・販売を行っており、本社は東京都渋谷区にあった。その後、2009年に現在の「株式会社アキア」として再創業された。"
アキタ電子システムズ,株式会社アキタ電子システムズ（アキタでんしシステムズ）は、秋田県秋田市に本社を置き、集積回路の設計やソフトウェア開発等の事業を行う会社。日立超LSIシステムズの子会社であった。設立時の社名は、アキタ電子株式会社。
アキュートロジック,アキュートロジック株式会社(Acutelogic Corporation)は、組込み用デジタル画像処理分野の技術を持った日本の会社。
アクセル_(電気機器),株式会社アクセルは、LSIをはじめとする電気機器を開発・販売する日本の企業。主にパチンコ・パチスロに組み込む、グラフィック・サウンドに関わるLSIの開発・販売に特化したファブレス企業で、直近ではグラフィック・音源・LED制御の機能を1チップに集約したLSI・AG333が主力商品となっている。
アクティブリンク,"アクティブリンク株式会社（英語: Activelink Co., Ltd.）は試作機や製品の受託開発及びコンサルティングを行うパナソニックグループの企業である。"
アクロス_(コンピュータ周辺機器),株式会社アクロスは、大阪府大阪市阿倍野区に本社を置く、コンピュータ周辺機器メーカー。
アズビル,アズビル株式会社（Azbil Corporation）は、日本の制御・計測機器メーカー。azbilグループの中核である。
アドテック,株式会社アドテック（ADTEC Corporation）は、東京都港区に本社を持つパソコン周辺機器メーカー。
アドテックス,"株式会社アドテックス（英社名: Advanced Technology and Systems Co., Ltd., 略称: ADTX）は精密機器メーカー。主にRAID装置を開発・製造していた。2007年1月破産。"
アドバンテスト,株式会社アドバンテスト (英文社名：Advantest Corporation) は、半導体デバイスの測定器などの大手メーカー。半導体検査装置の大手メーカーであり、特にメモリテスターを始めとする自動テスト装置の分野では2008年現在世界第1位である。富士通からの出資を受けていた時期があり（現在も約10%の株式を保有する大株主である）、古河グループとの関係が強い。
アドフォクス,アドフォクス株式会社は、東京都青梅市に本社のある補聴器・マイクロフォン・イヤホン・計測器のメーカーである。
アナログ・デバイセズ,アナログ・デバイセズ（英: Analog Devices、NASDAQ: ADI）は、半導体デバイスを製造するアメリカの多国籍企業。特にADC、DAC、MEMS、DSPなどに強い。現在は 65nm から 3μm のプロセスルールの回路を設計している。
アビッド・テクノロジー,"アビッド・テクノロジー・インコーポレイション（英語：Avid Technology, Inc., NASDAQ: AVID）、通称：アビッド、Avid）は、1987年創業、1993年設立のアメリカ合衆国の企業で、主に映像のノンリニア・ビデオ編集機の設計開発と製造及び販売を行っている。創業当時はノンリニア編集システムの管理と販売を主に行っていた。本社はマサチューセッツ州バーリントン。初の海外法人である日本法人はアビッドジャパン株式会社として1993年に設立され、2003年11月1日付でアビッドテクノロジー株式会社に社名変更。1995年にはPro ToolsなどのDAWが製品群にあるDigidesign を子会社化し、ビデオとオーディオの両ワークステーション分野がAVIDに統合された。AVID社のノンリニア製品は、テレビ、映画、コマーシャル、メディア・クリエートなどの現場で使用され、最新のフラッグシップ機種では1080iのHD画像を廉価システムでも扱えるような製品群がある。ノンリニアビデオ編集ソフトもAvidと呼ばれ、映画のスタッフロールなどにも「Avid エディター」という肩書きのスタッフがいることがある。"
アマダミヤチ,"株式会社アマダミヤチ（英: AMADA MIYACHI CO., LTD.）は神奈川県伊勢原市に本社を置く、産業用加工レーザー機器、抵抗溶接機器等の研究開発・設計を行なう、アマダグループの企業である。旧社名はミヤチテクノス株式会社。"
アムコアテクノロジー,"アムコアテクノロジー（Amkor Technology, Inc）は、アメリカ合衆国アリゾナ州チャンドラーに本社を置き、半導体製造の後工程を行う企業である。アムコ－・テクノロジーとも呼ばれる。"
アムストラッド,アムストラッド（Amstrad ）はイングランド、エセックスのブレントウッドにあるエレクトロニクス企業。1968年、アラン・シュガーが創立。名称は Alan Michael Sugar Trading を短縮したもの。1980年、ロンドン証券取引所に上場。1980年代後半には、ヨーロッパのコンピュータ市場で25%のシェアを誇った。2008年現在は、BスカイBグループ傘下で、デジタル衛星放送用セットトップボックスを主に製造している。
アムダール,アムダール (Amdahl Corporation) は、1970年、IBMの元従業員ジーン・アムダール博士が創業した企業。IBMメインフレームの互換コンピュータを製造した。1997年7月、富士通の完全子会社となり、独立した企業としては消滅した。本拠地はカリフォルニア州サニーベール。アムダールは大型メインフレームの主要供給業者であった。後にはUNIXなどオープンシステムソフトウェアとサーバ、ストレージサブシステム、データ通信製品、アプリケーション開発ソフトウェア、各種教育およびコンサルティングなどを商品とした。1970年代、IBMはメインフレーム市場をほぼ独占するようになり、アムダールはプラグコンパチブル（互換機を参照）で低価格のマシンで「ビッグブルー」にある程度対抗した。事情通のIBMの顧客はIBMのセールスマンが来たときにアムダールのロゴ入りマグカップをわざと持たせて楽しんだという。
アライドテレシスホールディングス,アライドテレシスホールディングス（英文表記:ALLIED TELESIS HOLDINGS K.K.）は、情報通信及びネットワーク機器の研究開発、製造、販売を主要事業としているアライドテレシスグループの純粋持株会社である。本社は東京都品川区西五反田に置く。
アルデバランロボティクス,アルデバランロボティクス社（英: Aldebaran Robotics SAS）はフランスパリRaymond Losserand に本社を置く、自律型ヒューマノイド・ロボットNaoの設計、生産、販売を中心とする事業を行うソフトバンクグループ傘下の企業である。創業者はブルーノ・メゾニエ、CEOは冨澤 文秀。
アルパイン_(企業),"アルパイン株式会社（Alpine Electronics, Inc.）は、東京都品川区及び福島県いわき市に本社を置く自動車用音響機器（カーオーディオ）、情報通信機器（カーナビ、カーAV、複合商品）メーカー。アルプス電気グループ。"
アルバック,株式会社アルバックは、神奈川県茅ヶ崎市に本社を置く、主に産業・研究機関向け真空装置を製造する企業である。東京証券取引所一部上場。
アルプス電気,"アルプス電気株式会社（アルプスでんき、ALPS ELECTRIC CO., LTD.）は、日本の電子部品・音響機器を製造販売する大手企業である。"
アロン電機,アロン電機株式会社（アロンでんき）は、鹿児島県薩摩郡さつま町にある画像検査装置、自動機・省力化機器、半導体製造装置、金型・治工具・装置部品の製造開発メーカー。
アンデス電気,アンデス電気株式会社（アンデスでんき）とは青森県八戸市に本社を置く電子部品・電気製品製造メーカーである。特に液晶用カラーフィルターで世界シェア1位を誇っており、サムスン、ノキア、モトローラといった通信機器メーカー大手と取引関係にある。
アンテナ技研,アンテナ技研株式会社は業務用アンテナおよび関連機器を開発、製造する日本のアンテナメーカー。
アンリツ,アンリツ株式会社は、電子計測器などを作る会社。本社は神奈川県厚木市。
イースタン,"株式会社イースタン（Eastern Co.,Ltd. ）は、長野県茅野市に本社を持つプリント基板・電子部品メーカーである。日本特殊陶業の関連会社。プリント回路事業部と電子機器事業部がある。"
